Decision	SAT	ACT	Subject_tests	GPA	Rank	Gender	Ethnicity	Income_Bracket	School_Type
Decision status: Rejected - Wharton for BEPP [/color]	SAT I (breakdown M/ERW): 1500 - 790/710 (NEW) (Best sitting)		SAT II (subject, score): Math II, 800 (Best sitting)	GPA: NA (Around 3.7 UW )	Top 10%	Male	Asian (Indian)	Income Bracket Range:	
Decision: Accepted - CAS	SAT I (breakdown M/CR/W/Essay): 1590 (800 M, 790 CR/W)		SAT II (subject, score): 800 Bio M, 800 Math II	GPA: 4.0	Top 10%	M	Asian	Income Bracket Range: > 200k	Public
Decision: Accepted - CAS	SAT I (breakdown M/CR/W/Essay): N/A	ACT (breakdown): Composite 35 (Math 35, Science 36, English 34, Reading 33)	SAT II (subject, score): Math level II 800 / Chemistry 800 / Physics 800	GPA: 4.0	Top 10%	Male	Asian (Korean)	Income Bracket Range: Just a decent middle class Korean family	International Boarding School
Decision: Accepted - Nursing	SAT I (breakdown M/CR/W/Essay): N/A	ACT (breakdown): 34C (30M, 36R, 34W, 35S)	SAT II (subject, score): N/A	GPA: pretty bad	school doesn't rank	female	white	Income Bracket Range: middle class	public
Decision: Accepted - SEAS[ /color]	SAT I (breakdown M/CR/W/Essay): 1580 (800 M, 780 E)	ACT (breakdown): N/A	SAT II (subject, score): 800 Math II, 800 Chem, 800 Physics	GPA: 4.0	Top 10%	female	Asian (Indian)	Income Bracket Range: ~250k	medium public
Decision: Accepted, School of Nursing	SAT I (breakdown M/CR/W/Essay): N/A	ACT (breakdown): 35C (36R, 35E, 34S, 33M) one sitting	SAT II (subject, score): 800 Biology E	GPA: UW: 3.99	Does not rank	Female	Taiwanese haha	Income Bracket Range: Less than $25,000	Small, EXTREMELY competitive public school (ranked U.S. top 25 high school)
Decision: Rejected	SAT I (Comp, Essay, CR, M, CW):1490, 19, 33,800, 36	ACT (Comp, Essay, Eng, Math, Read, Sci):N/A	SAT II (Type, Score):Chem-770 Math II-800	GPA (out of 4.0):4.0	Top 10%	Male	Asian	Income Bracket: 200K+	Public
Decision: Accepted!!!!!!!!!!		ACT (Comp, Essay, Eng, Math, Read, Sci): 34,35,35,36,28	SAT II (Type, Score): none	GPA : 4.0	Top 10%	Male	White	Income Bracket: 30k-50k	Public, suburban
Decision: RejectedObjective:	SAT I: N/A		SAT II:	GPA: N/A	N/A	Male	Asian	Income Bracket: 130k currently, 100k next year (mom's quitting her job)	International
Decision: Accepted[/b][/color][/size]	SAT I (breakdown): Didn't take	ACT (breakdown): 35 C (35 E, 35 M, 32 R, 36 S)	SAT II: Didn't take	GPA (out of 4.0): 3.9	Not Top 10%	Female	White	Income Bracket: Would rather not say	Rural Public
Decision: ACCEPTED!!!	SAT I (breakdown): Didn't take	ACT (breakdown): 35 C (35 E, 35 M, 32 R, 36 S)	SAT II: Didn't take	GPA (out of 4.0): 3.695	Not Top 10%	Female	White	Income Bracket: Rather not say	Rural Public
Decision: Accepted (to Medill for Journalism)	SAT I (Comp, Essay, CR/W, M): 1530, 14, 790, 740	ACT (Comp, Essay, Eng, Math, Read, Sci): n/a	SAT II (Type, Score): Math 1 (660), US History (660), English Lit (790)	GPA (out of ??): n/a (school only uses uw GPAs)		Female	Asian/white	Income Bracket: $80,000	homeschooled, part of a PSP if that means anything to you
Decision: Rejected	SAT I (Comp, Essay, CR, M, CW): 1570, 770 English, 800 Math	ACT (Comp, Essay, Eng, Math, Read, Sci): 36, E36 M36 R35 S36	SAT II (Type, Score): 800 on Math II, 750 on US History, 740 on Lit	GPA (out of ??): School doesn't do that	Top 10%	Male	White	Income Bracket: 100k-120k	Public Magnet
Decision: Accepted	SAT I (breakdown): 1550, 800 M, 750 CR	ACT (breakdown): 35 E, 35 M, 34 R, 34 S	SAT II: 780 US History, 780 Math II	GPA (out of 4.0): 4.0	None	Male	White	Income Bracket: About 250k	Public
Decision: Accepted	SAT I (Comp, Essay, CR, M, CW): 1560, 7 7 7 essay, 790 M, 770 R	ACT (Comp, Essay, Eng, Math, Read, Sci): N/A	SAT II (Type, Score): Math II - 800, Biology (Molecular) - 760, Literature - 740	GPA (out of ??): 4.0	Top 10%	Female	East Asian	Income Bracket: ~100k	public
Decision: Accepted[/b][/color][/size]	SAT I (Comp, Essay, CR, M, CW): 1570, 21 essay, 800 M, 770 R	ACT (Comp, Essay, Eng, Math, Read, Sci): N/A	SAT II (Type, Score): Math II - 800, Chemistry - 790, US His-800	GPA (out of ??): 4.5 out of 5		Male	Chinese (R I PPPPPPPPPPPP)	Income Bracket: ~100k	public
Decision: Waitlisted	SAT I (Comp, Essay, CR, M, CW): 1390 (18/24, 700/690)	ACT (Comp, Essay, Eng, Math, Read, Sci): 30 (34, 26, 30, 30)	SAT II (Type, Score): World History - 720, US History - 680	GPA (out of ??): N/A	Top 10%	Female	Filipino	Income Bracket: 83K	Public
Decision: Accepted, CAS	SAT I (Comp, Essay, CR, M, CW): nope	ACT (Comp, Essay, Eng, Math, Read, Sci): 34 (36, 32, 36, 31)	SAT II (Type, Score): 800 Spanish, 730 USH	GPA (out of ??): 4.0	Top 10%	Male	Hispanic	Income Bracket: 40K	Public, large
Decision: AcceptedObjective:	SAT I (Comp, Essay, CR, M, CW): N/A	ACT (Comp, Essay, Eng, Math, Read, Sci):34C (Essay 8, 35, 32, 34, 33)	SAT II (Type, Score): 660 Math II and 650 English Lit (rip for days)	GPA (out of 4.0): 4.0	Top 10%	Female	White	Income Bracket: $50K	Large public
Decision: Accepted (to the college of arts and sciences and the Bienen school of music)	SAT I (breakdown): 1460, 730 math 730 English	ACT (breakdown):	SAT II: 790 math 2, 740 literature	GPA (out of 4.0): 3.96	school doesn’t rank, but probably top 10%	female	white	Income Bracket(mention if FA candidate):	public
Decision: Waitlisted	SAT I (Comp, Essay, CR, M, CW): 1530 Comp, 6-6-6 essay, 730 Reading/Writing, 800 Math	ACT (Comp, Essay, Eng, Math, Read, Sci): none	SAT II (Type, Score): Math II: 780, Math I: 700, Biology E: 730	GPA (out of ??): 4.0	Top 10%	Female	White	Income Bracket: upper middle class	Public
Decision: Accepted[/b][/color][/size]	SAT I (Comp, Essay, CR, M, CW): 1570, 21 essay, 800 M, 770 R	ACT (Comp, Essay, Eng, Math, Read, Sci): N/A	SAT II (Type, Score): Math II - 800, Chemistry - 790, US His-800	GPA (out of ??): 4.0		Male	Chinese (R I PPPPPPPPPPPP)	Income Bracket: ~100k	public
Decision: Accepted	SAT I (Comp, Essay, CR, M, CW): Did Not Submit	ACT (Comp, Essay, Eng, Math, Read, Sci): 34 (35 Eng, 31 Math, 35 Reading, 34 Science, 8 Writing)	SAT II (Type, Score): 620 Literature, 720 Math I and US History	GPA (out of ??): School doesn't calculate	N/A	Male	African American	Income Bracket: High	Private
Decision: Rejected	SAT I (breakdown): 1540 (780 Math, 760 English)	ACT (breakdown): C:35 (E35,M36,R35,S34) one sitting	SAT II: Math 2: 800, US History: 760	GPA (out of 4.0): 3.8UW	School does not rank	Male	White	Income Bracket: high	Public Charter
Decision: ACCEPTED	SAT I (breakdown): 1470 (800 Math, 670 EBRW) - taken in sophomore year one sitting		SAT II: Math 2: 800, Chemistry: 740	GPA (out of 4.0): 3.9UW		Male	East Asian	Income Bracket: Medium/High	Private Christian
Decision: Rejected	SAT I (breakdown): 1410	ACT: NA		GPA (out of 4.0): 4.0 UW	School does not rank	Female	White	Income Bracket: <100,00	Small Public
Decision: Rejected	SAT I (breakdown): 1510	ACT: none		GPA (out of 4.0): 3.81	school doesnt do	M	Indian	Income Bracket:high	Large Public
Decision: Rejected	SAT I (breakdown): NA	ACT: 34C(34E,35M,35R,32S)	SAT II: 800 - Math 2	GPA (out of 4.0): 3.95UW with max rigor.	NA	Male	White	Income Bracket: 140k-150k	best public in my area
Decision: Accepted	SAT I (breakdown): none	ACT: 36C	SAT II: Physics - 800, Math II - 800, US History - 800	GPA (out of 4.0): 4.00	Top 10%	Male	Asian	Income Bracket: Upper middle	Large Public
Decision: Rejected	SAT I (breakdown): 1590 (800 Math, 790 English)	ACT (breakdown): didn't take	SAT II: Math 2: 800, Chemistry: 800, Biology: 800	GPA (out of 4.0): 4.0UW	School does not rank	Male	Asian	Income Bracket: high	Huge Public
Decision: Accepted	SAT I (breakdown): 1480	ACT: 35C	SAT II: Math 2 - 800, Biology E - 790	GPA (out of 4.0): 4.0	N/A	Male	White	Income Bracket: Lower Middle	Public Boarding School
Decision: Accepted!	SAT I (breakdown): didn’t send	ACT: C: 36 (E36, M35, R36, S35)	SAT II: Math II: 770, Spanish with Listening: 780	GPA (out of 4.0): 4.0UW	school does not rank		Hispanic, White	Income Bracket: upper middle class	Suburban Public
Decision: Waitlisted		ACT: 33C (35E, 32M, 33R, 33S)		GPA (out of 4.0): 3.76	n/a	Female	White	Income Bracket: $750,000+	Small Private
Decision: Accepted	SAT I (breakdown): Didn't send	ACT: 35C (36E/35R/35M/35S)	SAT II: Didn't send	GPA (out of 4.0): 4.0	Top 10%	Female	Asian	Income Bracket: $250k+	Top 10 Public school in my state
Decision: Deferred		ACT: 33 ( 36 E, 35 R, 29M, 31S)		GPA: 3.9	Top 10%	F	White		Public
Decision: Accepted!!!	SAT I (breakdown): didn’t take	ACT: 35/36 36 all sections except math 32	SAT II: 800 Math2	GPA (out of 4.0): 3.72	n/a	Female	White	Income Bracket: Highest	Private, Top 20
Decision: Accepted	SAT I (breakdown): N/A	ACT: 33C 36R, 34E, 31M, 30S	SAT II: 800 US History	GPA (out of 4.0): 3.92	Top 10%	Male	Black	Income Bracket: 80-110k	Public
Decision: Deferred	SAT I (breakdown): N/A	ACT: 35 one sitting (E:35 M:33 R:36 S:34)	SAT II: N/A	GPA (out of 4.0): 3.85	N/A	Female	Asian (Korean)	Income Bracket: would get some aid but not much	super competitive public
Decision: Accepted	SAT I (breakdown): 1560 800 Math, 760 CR	ACT: n/a	SAT II: 730 Bio, 710 Math 2	GPA (out of 4.0): 4.0	Top 10%	M	white	Income Bracket: high	public
Decision: Rejected	SAT I (breakdown): didn't send	ACT: 30 C (29 R, 29 M, 31 E, 29 S)	SAT II: didn't send	GPA (out of 4.0): 4.0	Top 10%	F	Asian	Income Bracket: lower middle class (single mom)	Very large suburban public (2,400+)
Decision: Accepted!!!! Never been this happy in my life!!!	SAT I (breakdown): 1550 Combined, 770 English and 780 Math	ACT: Didn't take.	SAT II: 790 US History, 740 Literature	GPA (out of 4.0): 4.0	Top 10%		White	Income Bracket: $200,000 but applied for financial aid	Public, average ranking
Decision: Accepted!!!	SAT I (breakdown): N/A	ACT: 35C (36S 36M 34E 35R) One sitting	SAT II: Math I 750 Chem 740	GPA (out of 4.0): 4.0UW	Top 10%	Female	White	Income Bracket: applied for Financial aid	Public
Decision: Accepted	SAT I (breakdown M/CR/W/Essay): 1540 [800 – Math, 740 – Reading & Writing]	ACT (breakdown): 34	SAT II (subject, score): 800 – Math 2, 800 – Physics 1, 760 - Chemistry	GPA: 4.0	Top 10%	Male	Indian	Income Bracket Range: Good	High School about 2000 students
Decision: WaitlistedObjective:	SAT I (breakdown): 1550 (790 M, 760 R) All in one sitting	ACT (breakdown): 34 but didn't send	SAT II: 800 Math II, 700 USH, 700 Chem	GPA (out of 4.0): 4.0	Top 10%		Asian (Indian)	Income Bracket: 2 high 4 aid	Public
Decision: Accepted	SAT I (breakdown): 1560 (770E, 790M)	ACT (breakdown): n/a	SAT II: 800 Math 2, 760 Spanish	GPA (out of 4.0): 4.0	n/a	Female	Asian	Income Bracket: 60-90k	private school, pretty elite tbh
Decision: RejectedObjective:	SAT I (Comp, Essay, CR, M, CW): 1390 (part of the reason why my score is so low is probably bc of CR/CW because english is not my first language and I STRUGGLED lmao)	ACT (Comp, Essay, Eng, Math, Read, Sci): n/a	SAT II (Type, Score): 770 Math II	GPA (out of ??): n/a (international student)	Top 10%	Female	Black	Income Bracket: idk? upper middle class	Private, french speaking school
Decision: AcceptedObjective:	SAT I (Comp, Essay, CR, M, CW): N/A	ACT (Comp, Essay, Eng, Math, Read, Sci): 33C (8 Essay, 31E, 33M, 33R,35S)	SAT II (Type, Score): 710 Math II	GPA (out of ??): N/A	Top 10%	Female	Hispanic/White	Income Bracket: ~$70,000	Public
Decision: AcceptedObjective:	SAT I (Comp, Essay, CR, M, CW): 1530, 7/7/7, 760RW 770M	ACT (Comp, Essay, Eng, Math, Read, Sci): nope	SAT II (Type, Score): Math II 790, Bio E 760, USH 800	GPA (out of ??): 4.0	Top 10%	female	Russian/white	Income Bracket: <100,000	public
Decision: Accepted with Woodrow Wilson Fellowship & Academic Excellence Scholarship Objective:		ACT (breakdown): 35 C (36 E, 35 R, 34 S, 33 M)	SAT II: 800 (US History), 750 (Math II)	GPA (out of 4.0): 4.0	Top 10%	Female	White	Income Bracket: Middle class	Public
Decision: AcceptedObjective:	SAT I (Comp, Essay, CR, M, CW): 1540 Comp, 6/5/6 essay, 800 reading/writing, 740 math	ACT (Comp, Essay, Eng, Math, Read, Sci): Didn't take	SAT II (Type, Score): Math II: 750, Chem: 710 (yikes haha it had been a while)	GPA (out of ??): 4.0	Top 10%		Biracial Asian and White	Income Bracket: Middle class	Public
Decision: AcceptedObjective:	SAT I (Comp, Essay, CR, M, CW): 1540, 6/5/6 essay, 740, 800)	ACT (Comp, Essay, Eng, Math, Read, Sci): none	SAT II (Type, Score): 750 (Math II), 710 (Chem) yikes haha	GPA (out of ??): 4.0	Top 10%		Biracial Chinese and White	Income Bracket: middle class	Public
Decision: Accepted (!!!)	SAT I (breakdown): Didn't send	ACT (breakdown): 34C 36R 36W 29M 34S	SAT II: Not too hot so I didn't send	GPA (out of 4.0): 3.845	Top 10%	Female	White/Hispanic	Income Bracket: >100k	Catholic
Decision: Accepted with Woodrow Wilson Fellowship	SAT I: 1540 (750 English, 790 Math)		SAT II (Type, Score): US History: 800, Bio M: 780, World History: 800	GPA: 4.0	Top 10%	Male	Hispanic	Income Bracket: 150,000+	Very Competitive Public
Decision: AcceptedObjective:	SAT I (breakdown): 790M 750E - 1540	ACT:	SAT II: Physics (800) - Chemistry (800) - Math 2 (750)	GPA (out of 4.0): 4.0	Top 10%	M	Hispanic	Income Bracket: High	Suburban Public
Decision: Accepted/b/color/size	SAT I (Comp, Essay, CR, M, CW): 1580 (780 R, 800 M)	ACT (Comp, Essay, Eng, Math, Read, Sci): Didn't take	SAT II (Type, Score): Bio Molecular (800), Chemistry (800), Math (800), US History (780), and a horrendous German score that I didn't submit	GPA (out of ??): Weighted GPA confuses me so I'm just gonna put UW	Top 10%	M	Didn't put on app	Income Bracket: Above average	Public school (medium size)
Decision: Waitlisted	SAT I (breakdown): N/A	ACT (breakdown): 35C, 35M, 35S, 34R, 35W	SAT II: 800 Chinese, 800 Math II, 760 Chem, 710 US History	GPA (out of 4.0): 3.92	Top 10%	Male	Asian, Chinese	Income Bracket: $100k-$125k	Public
Decision: AcceptedObjective:	SAT I: N/A	ACT: 35 (35E/36M/34R/36S)	SAT II: 800 Math II, 720 Bio E	GPA: 3.85	1	Male	White		Private
Decision: WaitlistedObjective:	SAT I (Comp, Essay, CR, M, CW): Did not take	ACT (Comp, Essay, Eng, Math, Read, Sci): 35 (35 eng, 35 math, 36 read, 34 sci)	SAT II (Type, Score): 800 molecular bio, 800 chem, 720 Japanese	GPA: uh I don't really know...maybe 4.0	Not given (very small class)	Male	White	Income Bracket: Too high for financial aid	Private rural (tiny)
Decision: Accepted with Woodrow Wilson Fellowship	SAT I: 1540 (750 Eng, 790 Math)		SAT II: 800 US History, 780 Bio M, 800 World History	GPA: 4.0	Top 10%	Male	Hispanic	Income Bracket: 150,000+	Competitive Public
Decision: AcceptedObjective:	SAT I (Comp, Essay, CR, M, CW): N/A	ACT (Comp, Essay, Eng, Math, Read, Sci): 32	SAT II (Type, Score): 710 in Math I	GPA (out of ??): 4.0	Top 10%	Male	BLACK	Income Bracket: POOR	Public School 80% Black
Decision: Accepted	SAT I (Comp, Essay, CR, M, CW): 1500	ACT: None	SAT II (Type, Score): 800 in two tests	GPA (out of ??): 4.0	Top 10%	Male	multiracial	Income Bracket: upper middle class	Private
Decision: Accepted	SAT I (Comp, Essay, CR, M, CW): 1450 M:740 CRW: 710	ACT (Comp, Essay, Eng, Math, Read, Sci): 32 one sitting	SAT II (Type, Score): Math II 600 Literature 610 .....	GPA: 4.0	10%	Female	Latinx	Income Bracket: 100k ish (financial aid really pulled through)	Public
Decision: Accepted	SAT I (breakdown): -	ACT (breakdown): 33 (34 English, 31 Math, 32 Reading, 34 Science)	SAT II: 760 US History	GPA (out of 4.0): GPA is done weird at my school, but around a 3.9	Top 10%	Female	Asian (Indian)	Income Bracket: around 100k	Large, Unranked Public School
Decision: Accepted	SAT I (breakdown): 1570 (800 math, 770 reading), 19/24 on essay	ACT (breakdown):	SAT II: 800 Math 2, 790 Chem	GPA (out of 4.0): 4.0	Top 10%	F	Asian	Income Bracket: Middle to High	Public
Decision: Accepted	SAT I (breakdown): 1570 (800 M, 770 R/W)	ACT (breakdown): Didn’t take	SAT II: 800 Math II, 800 Chem, 790 BioM	GPA (out of 4.0): 3.98	My school does not rank	Male	African American	Income Bracket: < 40000	Specialized High School (Large Public)
Decision: Deferred	SAT I (breakdown): 1490 (790 Math, 700 RW, 22/24 Essay)	ACT (breakdown): 34	SAT II: Math II: 800, Physics: 720	GPA (out of 4.0): Don't know specifically.	Top 10%	Male	White, European	Income Bracket: Middle Class	Public
Decision: AcceptedObjective:	SAT I (breakdown): 1550 (750 Reading, 800 Math), no essay	ACT (breakdown): 34 (36 English, 34 Math, 31 Reading, 34 Science, 9 Essay)	SAT II: 800 Physics, 800 Math 2, 730 Chemistry (did not submit)	GPA (out of 4.0): 4.0	Top 10%	M	Asian	Income Bracket: Prefer not to disclose	Public
Decision: AcceptedObjective:	SAT I (breakdown): 1590 (800M, 790EBRW, 5/4/6 (oops))	ACT (breakdown): n/a	SAT II: 800 Math II, 800 Physics	GPA (out of 4.0): 4.0	Top 10%	Male	Asian	Income Bracket: Middle	Public
Decision: Accepted	SAT I (breakdown): 1570	ACT (breakdown): N/A	SAT II: 800 Math II, 780 Chemistry, 780 US History , 750 Biology M	GPA (out of 4.0): 4.0	N/A	Female	Asian	Income Bracket: $100,000+	Large public, pretty good school for STEM
Decision: Accepted	SAT I (breakdown): none	ACT (breakdown): 35 Composite, 35 Math, 32 Science, 36 English, 35 Reading, 8 Writing	SAT II: Math II, 800 and Physics, 770	GPA (out of 4.0): 4.0	Top 10%	Female	Filipino and Chinese	Income Bracket: $200,000+	Public
Decision: Rejected	SAT I (breakdown): 1510 (780 M, 730 R&W)	ACT (breakdown):	SAT II: 780 Math II, 750 Chemistry	GPA (out of 4.0):		Female	Indian	Income Bracket:	Specialized Public
Decision: Waitlist Objective:	SAT I (breakdown M/CR/Essay): 1570 (800/770/20)	ACT (breakdown): 36	SAT II (subject, score): Physics, 800 - Math II: 800 -	GPA (out of 4.0): ~4.0	Top 10%	Male	White, but parents immigrated from Europe	Income Bracket Range: 120k - 140k (high nationwide but average/low for Long Island)	small, crappy public school
Decision: Waitlist Objective:	SAT I (breakdown M/CR/Essay): 1570 (800/770/20)	ACT (breakdown): 36	SAT II (subject, score): Physics, 800 - Math II: 800 -	GPA (out of 4.0): ~4.0	Top 10%	Male	White, but parents immigrated from Europe	Income Bracket Range: 120k - 140k (high nationwide but average/low for Long Island)	small, crappy public school
Decision: Rejected Objective:	SAT I (breakdown M/CR/W/Essay): 1370 (670/700/19) and 1370 (680/690/14)	ACT (breakdown): 31 (35E/34M/26R/29S/9W)	SAT II (subject, score): 660 USH and Math 2; 650 Bio-E; 620 Physics	GPA (out of 4.0): 3.2	Not Top 10%	Female	Caucasian	Income Bracket Range: $45k-50k	Public
Decision: Rejected	SAT I (breakdown M/CR/W/Essay): Didn't take	ACT (breakdown): 34	SAT II (subject, score): Math2 - 790; Chem - 760	GPA (out of 4.0): 3.92	school does not rank	male	white	Income Bracket Range: high	Private college prep
Decision: Rejected [/b]Objective:	SAT I (breakdown M/CR/W/Essay): Math 780, ERW 740, 18 essay	ACT (breakdown): NA	SAT II (subject, score): Physics, 740; Math 2, 800	GPA (out of 4.0):4.0	Top 10%	male	White, 25% Asian	Income Bracket Range: >200k	Public, large (~1800)
Decision: Waitlisted! Objective:	SAT I (breakdown M/CR/W/Essay): didn't submit	ACT (breakdown): 35 composite (M34 S36 E35 W33)	SAT II (subject, score): Physics 780, Math II 780	GPA (out of 4.0): idk	Top 10%	Female	White	Income Bracket Range: ~$75K (in USD)	Just your average public high school
Decision: WaitlistedObjective:	SAT I (breakdown M/CR/W/Essay): 1540 (M 780 / E 760 / Essay 22)	ACT (breakdown): 33 (35 E / 35 M / 31 R / 29 S / 8 W)	SAT II (subject, score): Math Level 2 (800), Chemistry (800), Physics (760)	GPA (out of 4.0): 3.98	Top 10%	Male	White	Income Bracket Range: $100,000-$110,000; middle-low income for my city	medium-large, suburban public high school in the San Francisco Bay Area; about 3,000 students
Decision: Waitlisted Objective:	SAT I (breakdown M/CR/W/Essay): 1570 (800/770/17) Didn’t submit	ACT (breakdown): 36	SAT II (subject, score): Math II – 800; Chemistry – 800; US History – 790; Biology E - 730	GPA (out of 4.0): 4.0	Top 10%	Male	Asian (Chinese)	Income Bracket Range: ~$150,000	Large public, ~2,000 students in total
Decision: Rejected	SAT I (breakdown):1570 (770 ERW, 800 Math)	ACT (breakdown):	SAT II: 800 Chem, 800 Math II	GPA (out of 4.0): 3.88	None provided by school (school does not rank)	Male	Asian	Income Bracket: Around 100k	High ranking public school
Decision: AcceptedObjective:		ACT (breakdown): 34 composite (35 English, 35 Math, 36 Reading, 29 Science)	SAT II: 740 Bio E, 760 Math II	GPA (out of 4.0): 4.0		F	White	Income Bracket: under $90,000 a year	Charter
Decision: Accepted	SAT I (breakdown): did not submit	ACT (breakdown): 33 (35E, 27M, 33R, 35S)	SAT II: 670 M1 and 760 BioM	GPA (out of 4.0): 3.7	N/A	F	White	Income Bracket: 100k+	Public
Decision: Accepted	SAT I (breakdown): 1350 (650E 700M)	ACT (breakdown):32 (31E 33M 31R 31S)	SAT II: 690 Bio M 720 Math II (Not submitted)	GPA (out of 4.0): 4.0	Top 10%	Male	Mexican	Income Bracket: Yikes, low-income, all I wanna say	Public
Decision: Deferred	SAT I (breakdown): N/A (Didn’t submit)	ACT (breakdown): 35 (35 E, 34 M, 36 R, 35 S)	SAT II: 780 Math II 770 US History	GPA (out of 4.0): 3.98	Top 10%	Male	Asian	Income Bracket: Wealthy	Somewhat Competitive Public
Decision: Rejected	SAT I (breakdown): Didn't submit	ACT (breakdown): 33 C (35 E, 33 M, 32 R, 33, S)	SAT II: Didn't submit	GPA (out of 4.0): Unweighted: 4.0,	Top 10%	M	White	Income Bracket: Very low income: <30,000 but high in valued assets >100,000	Competitive School of choice, required GPA to be considered for ethnicity
Decision: Rejected	SAT I (breakdown): 1440 (730 English, 710 Math)	ACT (breakdown): 32 (35 Science, 30 Math, 35 English, 28 Reading)	SAT II: Did not send. Testing schedule just didn't work with all the bad things happening in my life.	GPA (out of 4.0): 3.75	Not Top 10%	Female	Latina	Income Bracket: 40,000-50,000. Elevated by around 20k because my parents messed up their tax returns.	Public Magnet
Decision: Rejected	SAT I (breakdown): 1340 680R 660M	ACT (breakdown): 32C 27M 34S 32E 35R	SAT II: n/a	GPA (out of 4.0): 3.756	Not Top 10%	Female	White	Income Bracket: Under 60,000	Public
Decision: Accepted	SAT I (breakdown): 1590 (800 Math, 790 ERW)		SAT II: 800 Math II, 780 Biology M	GPA: 3.98	N/A school does not rank	M	White		Private
Decision: Accepted	SATs: 710 history, 750 English? May be the other way around	ACT 34 (E36/M 30/ R 35/ S 31)		GPA: 4.0	N/A school does not rank but we know she has top GPA	F	White		Private
Decision: Deferred	SAT I (breakdown): 1520 (780 M/740 R)	ACT (breakdown): 33 (idk lol)	SAT II: 760 Lit 660 Bio E (oof)	GPA (out of 4.0): 3.94	N/A	Female	White	Income Bracket: around 100k	public, selective, boarding STEM focused (it’s weird I know lol)
Decision: Accepted	SAT I (breakdown): Didn't submit	ACT (breakdown): 35 (36 Math, 36 English, 36 Science, 32 Reading)	SAT II: 790 Math II, 740 US History	GPA (out of 4.0): 3.9	Top 10%	Male	Asian	Income Bracket: 100K	Public
Decision: Accepted	SAT I (breakdown): 1560 (M790, R770); taken for NMF confirming score, submitted late so not sure this was a factor	ACT (breakdown): 35 (M35 W36 R34 S36); single sitting	SAT II: Math2 800, Chem 780	GPA (out of 4.0): 3.8	Top 10%	Male	Asian	Income Bracket: No aid	Non-magnet, non-specialized public school. Well regarded but not an Ivy feeder by any stretch of the imagination.
Decision: Rejected	SAT I (breakdown):1430(E:640M:790)	ACT (breakdown):30(M36 S33 R27 E24)	SAT II: Math 2 800 physics 740	GPA (out of 4.0): 3.17	Top 10%	Male		Income Bracket:	
Decision: Accepted	SAT I (breakdown): N/A	ACT (breakdown): 34 (E:35,M:35,R:35,S:32)	SAT II: Math II 790, Physics 760	GPA (out of 4.0): 4.0	school doesn't rank		Caucasian		Private, very competitive, sends many students to top universities abroad.
Decision: Accepted		ACT: 35 (36 in english, 35, 35, 35)	SAT II: 800 Math 2, 790 Physics	GPA: 4.0 unweighted	Top 10%	M	White		
Decision: Accepted	SAT I (breakdown): Reading- 750 Math- 790 (1540)	ACT (breakdown): N/A	SAT II: N/A	GPA (out of 4.0): Unweighted 4.0 Weighted	School does not rank	Male	White	Income Bracket: 150K +	Jesuit Private
Decision: Accepted	SAT I (breakdown): N/A	ACT (breakdown): 35 (35 math, 36 science, 35 english, 33 writing)	SAT II: 800 math II, 730 Chem	GPA (out of 4.0): 3.86	N/A	Male	White	Income Bracket: Upper Middle Class (don't know past there)	Private
Decision: Accepted	SAT I (breakdown): 1410 (740 R, 670M) but they got to see my 1270 (650 R, 620 M)	ACT (breakdown): 29 (29 E, 32 R, 28 M, 28 S)	SAT II: N/A	GPA (out of 4.0): 3.97	Top 10%	Female	Hispanic	Income Bracket: around 24K per year	Public
Decision: Accepted	SAT I (breakdown): N/A	ACT (breakdown): 34 C (36 E, 35 R, 35 S, 32 M)	SAT II: N/A	GPA (out of 4.0): 3.72	Top 10%	F	White	Income Bracket: ~50k with custodial parent	Public
Decision: Accepted	SAT I (breakdown): 1510 (M740, R770)	ACT (breakdown): 33C (35 E, 33R, 35S, 31M)	SAT II: Bio 790, Chem 780, Math II 750	GPA (out of 4.0): 3.98	n/a (school doesn't do)	Male	Asian	Income Bracket: 100-200k	Public
Decision: Rejected	SAT I (breakdown): First time 1380 Second time 1420 Third time 1500 (no super score)	ACT (breakdown): First time 25 Second time 29 Third time 32 (didn't submit) lol took the sat and act three time in a row within 3 month	SAT II: Chinese 800 Math II 750	GPA (out of 4.0): 3.55	Not Top 10%	Male	Asian Chinese ( I'm proud of my race)	Income Bracket: 20k Low income	Public
Decision: Accepted	SAT I (breakdown): 1580 (800M, 780R) [1530 first attempt]	ACT (breakdown): 36	SAT II: 800 Physics, 790 Math II, 770 Spanish	GPA (out of 4.0): 3.98	Top 10%	Male	White	Income Bracket: ~100k	Public
Decision: Accepted		ACT (breakdown): 30 (E:34, M:29, R:31, S: 27)	SAT II: Spanish (760), USH (660)	GPA (out of 4.0): 3.9ish	Top 10%	Female	Latinx	Income Bracket: ~10k	Large, urban public
Decision: Waitlisted	SAT I (breakdown): 1420 (700 M, 720 CR)	ACT (breakdown): N/A	SAT II: Did not submit	GPA (out of 4.0): 3.9-ish	Top 10%	Female	Born in Iraq, immigrated to the US when I was 7	Income Bracket: Irrelevant because it is a need-blind school	Public, highly ranked in state
Decision: Accepted	SAT I : 1550	ACT : 34	SAT II: 800 physics, 800 math 2	GPA (out of 4.0): 4.0	no rank	male	white	Income Bracket: mid to upper	private Catholic
